titre_avis;texte_avis;note_avis;date_avis;type_voyage;nb_mots;nb_phrases;vader_compound;vader_sentiment;textblob_polarity;textblob_subjectivity;textblob_sentiment;transformer_label;transformer_score
Excellent;- Personnel très sympathique et professionnel et verres remplis.- Sites fantastiques à voir le long de la rivière.- Je recommande vivement cette croisière.-;5;9 octobre 2025;oct. 2025 • En famille;22;1;0.0;Neutre;-0.05;0.4;Négatif;LABEL_1;0.9996716976165771
Super nuit;Excellente nuit excellent personnel boissons a coulé musique fortement recommandée et annonces ont coulé bien ensemble fortement recommander;5;8 octobre 2025;oct. 2025 • En couple;18;1;0.5719;Positif;1.0;1.0;Positif;LABEL_1;0.9996761083602905
Croisière sur le Danube;Notre vol a été retardé et la compagnie a déplacé notre réservation à 21 : 00 . C'était agréable de voir la ville la nuit et nous a donné une bonne idée où les choses étaient. Si vous adhérez pour le Prosecco et Aperol. L'aperol est une courge aqueuse et le Prosecco un vin aigre plat. Nous avons apprécié le voyage en bateau.;4;8 octobre 2025;oct. 2025 • Entre amis;61;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9974019527435303
une croisière à ne pas manquer;Nous sommes allés tôt pour ce voyage et très heureux que nous avons fait. ( 3 / 4 heures plus tôt) Nous avons fini au tiers de la file d'attente. Il y avait 2 ferries, ils ont emmené les gens à travers le premier ferry sur le 2 ème. Une fois le bac de 1 rue rempli puis ils remplissent le 2 ème. Le pont supérieur était déjà presque rempli. Nous avons attrapé quelques chaises et un couple nous a laissé rejoindre leur table, Il y a de l'alcool illimité mais son seul plonk bon marché. La croisière est certainement un must. Nous y sommes allés la nuit et la vue sur les beaux bâtiments tous illuminés était fantastique. C'est une croisière très courte et beaucoup trop rapide. Apprécié chaque minute. Très bonne ambiance à bord.;5;7 octobre 2025;sept. 2025 • En famille;134;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.999193012714386
A faire absolument !;Super moment. Nous avions pris le créneau de 21h. Vraiment le top pour voir les monuments éclairés. Le prosseco est vraiment à volonté, un serveur est disponible très régulièrement. Le top serait de mettre de la musique un peu plus entraînante.;4;19 septembre 2025;sept. 2025 • Entre amis;41;1;0.7579;Positif;0.4444444444444444;0.5555555555555555;Positif;LABEL_1;0.9996479749679565
Balade en soirée juste magique;Très belle balade au créneau de 19h15, vue des monuments illuminés, apero a volonté. On a passé un très bon moment en famille.Personnel très aimable, on passe nous resservir quand nos verres sont videsA faire en incontournable dans cette belle ville de Budapest;5;5 septembre 2025;sept. 2025 • En famille;44;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996715784072876
Genial !;C'était super ! Serveurs très gentils, tour genial, explications chouettes, musique au poil, boissons très bonnes ! C'était parfait !;5;3 septembre 2025;sept. 2025 • En couple;17;1;0.7717;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996843338012695
A vivre absolument;Un excellent moment passé à bord ! On a de nouveau réservé mais de nuit, sur les conseils de touristes rencontrés sur le bateau. Les monuments éclairés sont encore plus beaux !;5;7 août 2025;août 2025;30;1;0.5719;Positif;1.0;1.0;Positif;LABEL_1;0.9996324777603149
La croisière qui déchire;Très bonne expérience.Le fait d'être sur le Danube permet d'avoir un point de vue parfait et différent sur les divers monuments.Le personnel est sympathique et le vin coule à flot.Aucune limite sur les boissons comme j'ai pu le lire dans certains commentaires.À faire absolument et bien réserver à l'avance.;5;17 juillet 2025;;53;1;-0.2732;Négatif;0.0;0.0;Neutre;LABEL_1;0.9996060729026794
Très sympa;Magnifique croisière, les serveurs sont très gentils, et toutes les boissons sont illimitées. Nous avons pu être sur la terrasse en bougeant les chaises.;4;14 juin 2025;juin 2025 • Entre amis;24;1;-0.2732;Négatif;0.0;0.0;Neutre;LABEL_1;0.999626874923706
4 demis verres en 60 min 🤨;Le bateau était bien, le prosecco illimité est une vaste blague, 4 demis verres en 60 minutes !Annoncé entre 75 et 90 min, ne dure qu’une heure.;2;25 mai 2025;;28;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9899674654006958
Bel expérience,moment suspendu! Et organisateur sympa et bienveillant;Malgré notre retard du à un point gps renseigné mais trop loin du point 0l'organisateur contacté par téléphone à très gentiment et en français accepté de déplacer l'activité au lendemainmerci encore et nous avons passé un très bon moment;5;20 mai 2025;;39;1;-0.5267;Négatif;-0.9;1.0;Négatif;LABEL_1;0.9988349080085754
Super croisière !;Nous y sommes allé pour l'EVJF d'une copine. Je recommande ! Super ambiance, dés que notre verre est fini on nous en ressert un. expérience de qualité.;5;12 mai 2025;mai 2025 • Entre amis;26;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996153116226196
Petite balade tranquille avec copine et prosseco;Très chouette acti ! On a eu 7 services de prosseco en +-1h de croisière.La vue est jolie et permet de voir une belle partie des monuments de la ville.;5;1 mai 2025;avr. 2025 • En couple;30;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.999636173248291
Avis très mitigé;On voit un joli bateau sur lequel on pense embarquer. On y rentre juste pour le traverser et derrière y est accroché un autre bateau beaucoup moins joli sur lequel on part ! Ceux qui étaient en dernier dans la file sont eux montés sur le joli bateau :-(Cherchez l'erreur : ceux qui sont arrivés les derniers sont donc les mieux servis.Musique d'ambiance beaucoup trop forte, empêchant toute dimension romantique à la croisière. Proseccos de mauvaise qualité et serveurs à peine aimables. Bref, pas top mais évidemment, la beauté de la ville vue du Danube fait oublier toutes ses déceptions.;3;28 avril 2025;avr. 2025 • En couple;99;1;0.2023;Positif;0.5;0.5;Positif;LABEL_1;0.5322592258453369
Croisières;Personnel agréable, croisiere dans un cadre idilique et le service boisson a volonté est respecter je recommande surtout de nuit;5;24 avril 2025;;20;1;0.4767;Positif;0.0;0.0;Neutre;LABEL_1;0.9995869994163513
Grand voyage en rivière;Super voyage sur la rivière. Belle vue sur les bâtiments illuminés à Buda et Pest. Pour les jeunes de moins de 25 ans .;4;20 avril 2025;;23;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9994587302207947
Grande croisière pour un prix avantageux;L'embarquement a été très rapide (bien que nous soyons arrivés bang à l'heure ce qui signifie que nous avions une table sur la rangée intérieure plutôt qu'une sur le bord, mais ce n'était pas un problème) . Le prosecco était constamment rafraîchi. Le 6. 45 heures de navigation était parfait car les lumières s'allumaient à notre retour. J'ai vraiment apprécié la croisière et j'ai pensé que c'était un prix avantageux. Seul petit bémol, le commentaire était trop calme - on ne pouvait pas l'entendre, mais comme je le savais les sites déjà qui n'avaient pas d'importance.;5;15 avril 2025;avr. 2025 • En couple;94;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9989386200904846
Fantastique !;C'était vraiment un très beau régal. Les vues étaient incroyables, et le personnel était fantastique. Je recommande vivement ceci à toute personne visitant Budapest;5;14 avril 2025;avr. 2025 • En couple;24;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996709823608398
Une vue inoubliable;Le personnel était très agréable, le bateau est grand et chauffé, la durée de la croisière est parfaite, je noterais juste que les boissons semblent être un peu diluées, mais rien de bien perturbant.;5;12 avril 2025;avr. 2025 • Entre amis;34;1;0.4588;Positif;0.5;1.0;Positif;LABEL_1;0.9995836615562439
Annulation de dernière minute et aucun remboursement;Nous sommes restés debout pendant 45 minutes le jour de mon anniversaire pour nous faire dire à 1 minute après que c'était annulé. J'ai envoyé deux courriels et je n'ai eu ni réponse ni remboursement. Très mécontent de ça.;1;10 avril 2025;mars 2025 • En couple;39;1;-0.4588;Négatif;0.0;0.0;Neutre;LABEL_0;0.9885810017585754
CS & Guest;Le paysage était si beau. Nous pensions que vous pourriez acheter de la nourriture lorsque nous étions sur le bateau mais apparemment, vous devez commander à l’avance ce que nous ne savions pas. Seule une petite collation était disponible à l'achat. Prosecco était un peu chaleureux. Mais tout le monde était gentil !;5;9 avril 2025;;53;1;-0.128;Négatif;0.0;0.0;Neutre;LABEL_1;0.9964174032211304
Croisière prosecco 🥂 illimité;Croisière le soir magnifique pour les bâtiments illuminés. Personnel sympathique. Le prosecco est à volonté mais le serveur ne passe pas très souvent.. Le bateau doit se tenir au milieu du Danube ce qui nous met loin des bâtiments illuminés. Les commentaire sont totalement inaudibles dommage. Très cher pour ce qui nous a été servi et la rapidité de la croisière. Peut-être un bateau plus petit pour admirer Budapest la nuit 🌃;4;7 avril 2025;;72;1;0.4215;Positif;0.0;0.0;Neutre;LABEL_1;0.9469903111457825
A faire!;Nous avons fait la croisière nocturne! Tout s'est passé pour le mieux, le cadre évidemment magnifique. Le prosecco était vraiment servi en illimité. Nous avons adoré;5;21 mars 2025;mars 2025 • Entre amis;26;1;-0.128;Négatif;0.0;0.0;Neutre;LABEL_1;0.9996304512023926
Expérience parfaite !;Très bonne expérience ! Le cadre est magnifique, il y a de la bonne musique, le personnel très accueillant et les verres sont remplis alors même qu’ils ne sont pas encore vides. Je recommande ++;5;26 février 2025;;34;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996470212936401
Génial;Croisière d’environ 1h30 avec les serveurs qui viennent très régulièrement vous resservir. si je peux vous conseiller, faites-le de nuit car les monuments éclairés sont magnifiques. Franchement pour le prix c’est incroyable l’une des meilleures activités à faire si vous venez à Budapest.;5;25 février 2025;;47;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9991635084152222
Hola;Súper expérience sur un bateau très sympa avec un personnel sympathique - durée d’environ 1h/1h30., magnifique de nuit;5;21 février 2025;févr. 2025 • En famille;19;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996699094772339
La croisière est vraiment telle que décrite procesco a volonté le bateau est plaisant et bien aménagé n'hésitez pas;C'était super bien et comme décrit dans l'annonce sortie a faire. Le personnel est agréable le bateau plaisant confortable.;4;19 février 2025;;19;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996607303619385
Proseco illimité : pas de foutage de gueule;"Le titre de l’activité ne ment absolument pas ; le proseco est ILLIMITÉ. A peine avez vous finit votre verre, que le serveur viens tout de suite vous resservir. On a mal finis mais on s’est é-cla-té. Foncez !!";5;17 janvier 2025;janv. 2025 • Entre amis;41;1;-0.128;Négatif;0.0;0.0;Neutre;LABEL_0;0.9407699108123779
Le top du top !;Croisière incroyable ! Super ambiance avec un service au top. Le Prosecco est vraiment servi à volonté même si le verre n’est pas terminé. Sans oublier bien sûr le cadre sublime de Budapest.;5;6 janvier 2025;janv. 2025 • En couple;33;1;0.6908;Positif;0.41666666666666663;0.5833333333333333;Positif;LABEL_1;0.9996379613876343
Mini croisière d’une heure sympa;Excellente organisation, bateau confortable, nourriture simple mais très bonne pour un apéro. Boissons softs en open bar et prosecco servi à table non-stop…;5;31 décembre 2024;;24;1;-0.296;Négatif;0.0;0.4285714285714286;Neutre;LABEL_1;0.9996110796928406
Excellent;Très bonne expérience, visite incroyable et le personnel est extrêmement gentil notamment Fahre. Je recommande fortement.;5;9 novembre 2024;nov. 2024 • Entre amis;16;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996814727783203
Visite en croisière de nuit des principaux sites le long du Danube avec en plus du prosecco illimité, vraiment illimité;Nous avons terminé notre séjour à Budapest par cette croisière de nuit absolument magnifique ! Le prosecco est vraiment illimité, les serveurs et serveuses guettent vos verres vides et viennent les remplir !! Les paysages illuminés, merveilleux et des photos géniales avec le parlement hongrois , le pont des chaînes, château de buda etc… A faire dans votre séjour …;5;3 novembre 2024;;56;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996379613876343
super voyage!!!!!;quelle belle expérience avec mon homme et mes enfants. en famille ou en couple l'île de Malte propose de très belles activités, cette île est magique, les locaux sont d'une telle gentillesse!nous y retournerons en amoureux!!!;5;12 août 2025;juil. 2025;37;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996834993362427
Génial.;Magnifique journée. Ambiance au rdv. Bonne humeur, buvette, braise.L’équipage est super, nous n’avons pas vu le temps passé. Le buffet était très bon et copieux.;5;22 octobre 2024;mai 2024 • Entre amis;28;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996806383132935
Magnifique;Alors la balade etait sympa , le repas a bord moyen je vous conseille de prendre un snack au lagon bleu , et venir plutot pour le depart pour avoir une transatte et une place confortable ,Ca reste une belle balade et les lieux visiter et magnifique;5;2 octobre 2024;oct. 2024 • En couple;45;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9992289543151855
Soirée Catamaran;Super organisation. Le personnel est très sympathique. L'excursion en soirée est très agréable, beaux paysages et petite baignade !Nous recommandons le barbecue, très bon.Un très beau moment à Malte.;5;29 août 2024;août 2024 • En famille;30;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996728897094727
Une journée exceptionnelle;Top top même si c’est complet mais le nombre de personnes est très correct.. la meilleure activité que j’ai fait a Malte staff très gentil, le barbecue est aussi bon les prix des boissons très abordables la musique pas très forte je recommande ce catamaran;5;29 juillet 2024;juil. 2024 • En couple;47;1;0.3818;Positif;0.5;0.5;Positif;LABEL_1;0.9996551275253296
Belle expérience;Nous avons réservé cette excursion puisqu’il ne restait que ça. Le premier point positif est le prix. La moyenne d’une boat party est de 80€, nous avons payé moitié prix ici. Le barbecue proposé le soir à 15€ est servi en grande portion avec une boisson à côté. Le personnel à bord était souriant, à l’écoute et intéressant. Je suis allée une fois au Blue Lagoon à l’aide d’un ferry et j’ai détesté cette expérience car trop de monde toute la journée. Cependant, avec cette excursion, nous sommes arrivés vers 18h et il ne restait presque plus personne et il y avait encore du soleil. Le bateau était propre. Le seul point « négatif » est qu’il distribue les boissons dans des verres en plastiques ce qui est très mauvais pour l’environnement. La musique n’était ni trop forte ni trop basse et le bateau est assez grand pour pouvoir s’allonger et profiter du soleil.;5;23 juin 2024;juin 2024 • Entre amis;162;1;0.7506;Positif;0.25;0.55;Positif;LABEL_1;0.9915342926979065
Impec;une balade paisible et magnifique, agréable à faire seule, avec amis ou en famille. Vous pouvez avoir un repas pour 15€. Le paysage et les pauses sont magnifiques ! Avec toilettes ( très propre). Mon avis personnel c’est la musique, j’aurais aimé que sa bouge plus 😂 mais sinon 5/5 !;5;18 juin 2024;;50;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995867609977722
Parfait pour ceux qui ont le mal de mer car très stable;Nous avons choisi la formule sunset pour le coucher du soleil et c'était vraiment génial.Les destinations sont assez touristiques mais à l'heure à laquelle on y passe il n'y a pas trop de monde c'est ce qu'il fait toute la différence.Je vous conseille de prendre sur place le barbecue qui était vraiment excellent et suffisant en terme de quantité (je fais 110kg).Le patron qui est toujours sur le bateauet est vraiment super sympa ainsi que très bonne ambiance.Il est très à l'écoute si vous voulez discuter.Les prix sur le bateau sont très abordables.;5;31 mai 2024;mai 2024 • En couple;98;1;0.8225;Positif;0.6666666666666666;0.8333333333333333;Positif;LABEL_1;0.999372661113739
Top;Super balade pour la journée le seul bémol trop de monde sur le bateau.Pas d’arrêt en ville uniquement en mer pour se baigner.Très beau paysage et bateau ambiancéLe repas du midi est top;5;3 janvier 2024;juin 2023 • Entre amis;36;1;0.6908;Positif;0.41666666666666663;0.5833333333333333;Positif;LABEL_1;0.999453604221344
Journée agréable  mais sans plus;Journée agréable  sans plus . Pas de quoi s extasier . Seules les 2 baignades en novembre dans les 2 lagons sont sympa . Sinon dommage le bateau est trop gros pour passer dans les grottes . Repas correct : une assiette avec crudités , 2 brochettes poulet et des féculents .Pour nous ce serait mieux avec un petit bateau;4;3 novembre 2023;;54;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.7028155326843262
Géniale;Parfait pour une journée bateau, possibilité de manger sur place avec l’option végétarien. Cigarette interdite sur le bateau mais vapote en vente sur place. On s’arrête dans les plus beaux endroits je recommande;5;1 octobre 2023;;35;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995125532150269
Tour en catamaran;Beaucoup de monde à bord. Bruyant, notamment 1 groupe d’environ 10 personnes qui pensaient être seuls sur le bateau !Le responsable du bar n’était pas très sympathique, comparé au reste de l’équipage qui eux, l’étaient. Le barbecue pour 15€ avec 1 boisson comprise était bon.Je ne referai pas. J’opterai pour un tour un peu plus privé.;3;22 septembre 2023;sept. 2023 • En couple;62;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_0;0.5913777947425842
Super journée  inoubliable.;Belle journée à bord du sée blue ,parfait pour une journée détente en bateau. Il est légèrement plus cher mais cela en vaut la peine visite du lagon bleu on se croirait dans les Caraïbes. Temps de baignade idéal en cette période les méduses sont très nombreuses mais inoffensives d'ailleurs c'est une attraction nous 'es avons prises en main.Petit conseil venez au rendez-vous une heure à l'avance pour avoir les places sur le filet à l'avant c'est le top.N'hésitez pas!Prix 65 euros pp.;5;16 septembre 2023;;87;1;0.5859;Positif;0.2222222222222222;0.3111111111111111;Positif;LABEL_1;0.9993287324905396
Incroyable;Super baladeBateau très propreLe temps des pauses baignade est parfaiteL’équipage très agréableLe BBQ est très bonSuper organisationOn ne peut que recommanderEt les paysages magnifiquesMerci 🤩S’il devait y avoir un bémol c’est l’heure de retourOn serait bien resté plus longtemps 😁;5;14 septembre 2023;;43;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996622800827026
A faire;Super fin d après midi. Expérience très agréable. 2 spots bien choisis pour la baignade avec assez de  temps pour bien profiter. Nous avions pris l option barbecue à bord. Très copieux. Le retour de nuit a aussi été très agréable,  avec un fond de musique lounge très sympa. Je recommande d arriver de bonne heure pour pouvoir être en haut, ce sont à mon avis les meilleures places. Activité très facile d'accès depuis la valette sans voiture..;5;26 août 2023;août 2023 • En famille;78;1;0.8176;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996498823165894
Agréable moment;Moment agréable passé en couple.Nous avons pu avoir une place à l’amont du catamaran sans difficulté. Pas mal de personnes sur le catamaran mais qui n’empêche pas de passer un moment agréable sans être les uns sur les autres et proximité écrasante.Rien à reprocher aux personnels présents.Balade de 6h en tout. 3 spots turquoise visités. Spots très beau, possibilité de se baigner sans difficulté aucune.Possibilité de demander un masque/tuba pour visionner les fonds en échange d’une caution/carte d’identité pour la dure du prêt. Stock suffisant pour tous.À refaire !;5;23 août 2023;;99;1;-0.3818;Négatif;0.0;0.0;Neutre;LABEL_1;0.9994533658027649
Merci pour cette belle journée !!;Top !! Bien mieux que le quad !!Le service est top !Le bateau très bien entretenu et très propre.Le service bar à prix non excessif.Les spots de nage plutôt sympa !!Les délais entre chaque spot très bien.Nous n’avons pas pris le repas à bord car il s’agit généralement d’un attrape touriste pour facilement se faire de l’argent et pour le coup, nous l’avons regretté. Les assiettes étaient bien pleines, et le plat avait l’air d’être très bon. (Poulet assaisonné au barbecue et légume) Pour 15€ je pense que c’était un très bon rapport qualité / prix. Nous l’aurions prix si j’avais fait plus attention aux avis !Attention comme il est indiqué, il faut arriver 45 min - 1heure avant pour être sûr d’avoir une place confortable.La balade à durée 6h comme mentionnée.La meilleure activité de l’île pour nous;5;23 août 2023;;152;1;0.3818;Positif;0.5;0.5;Positif;LABEL_1;0.9991596937179565
BELLE ACTIVITÉ;Nous avons passé un excellent moment en excursion sur le catamaran. Durée 5h, de 16h30 à 21h30 avec vue sur le coucher du soleil au Top !Barbecue copieux pour le repas du soir avec musique d’ambiance sur le bateauPetit conseil : arrivez une heure minimum pour tenter d’avoir une place sur les transats au dessus.Il serait bien aussi d’installer une file d’attente afin d’éviter de se piétiner dessus à l’entrée sur le catamaran pour avoir sa place…Thank you very much, have a nice day !;5;12 août 2023;;91;1;0.8768;Positif;0.59;0.69;Positif;LABEL_1;0.9995887875556946
Balade sympa;Balade en bateau très sympaUn peu déçue par les paysages « surcotés »Sinon, bateau très propre !!;3;4 août 2023;août 2023 • En famille;15;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9993963241577148
trop bien!;Trop bien! Une bien belle promenade en catamaran pour découvrir de beaux endroits et d'y baigner. Le déjeuner barbecue en option était très bon.;4;2 août 2023;juil. 2023 • En famille;24;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.999626636505127
Excursion parfaite;Super journée, très bonne équipe et bon point de baignade. : Blue Lagon et Crystal Lagon et point sur le retourTrès bon repas et copieux et coktail au top;5;1 août 2023;;28;1;0.6908;Positif;0.27777777777777773;0.4222222222222222;Positif;LABEL_1;0.9996744394302368
Nous avons 3 arrêts mais nous avons été déçu de ne pas s’être approché du Lagoon nous étions trop loin. Le bateau est be;Nous avons 3 arrêts mais nous avons été déçu de ne pas s’être approché du Lagoon nous étions trop loin. Le bateau est beau mais plein. Le repas était très bon et bien organisé. A part l’arrêt de 20 min à Popeye les arrêts n’étaient pas top !;3;30 juillet 2023;juil. 2023 • En couple;50;1;0.2023;Positif;0.5;0.5;Positif;LABEL_1;0.9975957274436951
Beau moment d’évasion;Très bien organisé. Arriver 45 minutes pour choisir sa place. Attention les sièges sont pour deux personnes. Pas de plongeoir. Equipage efficace. Bateau très agréable avec un bar avec des des prix corrects. Repas le soir également très bien organisé et de bon rapport qualité prix. Très belle ballade jusqu’au village de Popeye puis ensuite deux autres arrêts intéressants dont le lagon bleu. A chaque mouillage on peut se baigner. Bateau très propre. Bonne ambiance sur le bateau. Pas l’impression de se sentir oppressé. Plus cher que les autres ballades en bateau mais prestation de qualité donc le prix est justifié.;5;30 juillet 2023;juil. 2023 • En famille;103;1;0.2263;Positif;0.0;0.0;Neutre;LABEL_1;0.9994648098945618
A faire!;Top service parfaitArrivés tôt pour avoir une bonne placeLes arrêts étaient super et éloignés de la foule pour nager tranquillement.Le repas du midi très bien.;5;30 juillet 2023;juil. 2023 • En famille;26;1;0.6908;Positif;0.41666666666666663;0.5833333333333333;Positif;LABEL_1;0.9996486902236938
Perfect sunset;Super expérience, une bonne ambiance et des vues à couper le souffle, le BBQ était à notre goût  ! Nous recommandons !;5;29 juillet 2023;juil. 2023 • En couple;20;1;0.5994;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9996697902679443
Très sympa;Très belle excursion. Pas trop de monde, juste ce qu’il faut . L’avantage au coucher du soleil c’est qu’il y a moins de monde. Barbecue copieux et musique très sympa. Bonne ambiance;4;29 juillet 2023;;35;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9991931319236755
Balade et baignade inoubliables !;Très belle balade en mer avec des lieux de baignade incroyables.Conseil : arrivez de bonne heure pour choisir votre place sur le bateau (ça conditionne tout le reste).Repas servi à bord très bien;4;28 juillet 2023;;34;1;-0.128;Négatif;0.0;0.0;Neutre;LABEL_1;0.9995993971824646
Journée parfaite;Très belle journée à bord de ce catamaran. Les lieux visités sont à couper le souffle. Je pense que les photos parlent d’elles-mêmes !;5;26 juillet 2023;;25;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996647834777832
Sortie catamaran comito blue lagoon;Sortie en catamaran très agréable, le barbecue propose en supplément très copieux et bien organisé. Petit bémol pour l'organisation pour embarquer: j'avais la réservation sur mon téléphone mais nulle part il était indiqué qu'il fallait aller chercher des tickets à leur stand. J'etais bien placé dans la queue pour monter sur le bateau et ainsi choisir une bonne place, il y a fallu que je retourne chercher des tickets.;4;24 juillet 2023;juil. 2023 • En famille;69;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9962717294692993
Top balade;Très sympa à faire, très beau paysage et arrêts pour baignade au top !  Musique sympa sur le bateau !;5;18 juillet 2023;juil. 2023 • En famille;18;1;0.2023;Positif;0.5;0.5;Positif;LABEL_1;0.9996565580368042
Super sympa;Très bien organisé. Personnel très sympathique. Acceuil chaleureux. Quoi de demander de mieux, au départ du port de la Grande-Motte.;5;11 juillet 2023;;21;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996546506881714
Super;Le barbecue très bon. On a fait plusieurs arrêts avec des points de vue magnifiques. Attention faut venir une heure avant pour avoir les transats. Nous c’était pas le cas donc on est allés sur le trampoline (encore mieux!)Musique house, on a adoréPoint négatif pour l’arrêt 5 minutes devant popeye village, on aimait pas et ça nous a rajouté du trajet;5;5 juillet 2023;juil. 2023 • Entre amis;64;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9985466599464417
Très bonne journée sur ce catamaran;Superbe journée sur ce beau catamaran, le barbecue du midi était très bien pour 15 euros, très bonne ambiance, de la musique mais pas trop forte. Je vous conseille de venir 1h avant pour avoir une bonne place.;5;3 juillet 2023;juin 2023 • En couple;38;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995881915092468
Belle journée sur l’eau;Très belle journée sur l’eau le BBQ était bon et copieux les arrêts bien choisis pour pouvoir nager le soleil au rendez-vous;5;15 juin 2023;;24;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996596574783325
Agréable journée;Bonne journée au sein de ce catamaran qui est très propre.Le personnel de bord est sympathique, le déjeuner est  bon avec une quantité suffisante.Petit bémol pour le prix des glaces et l'heure du retour (15h30, il me semblait que le retour était prévu à 17h) .J'aurais bien aimé visiter l' autre côté du blue lagon.Bonne continuation à toute l' équipe;4;14 juin 2023;;63;1;0.0;Neutre;0.0;0.1;Neutre;LABEL_1;0.9994064569473267
Parfait.;Tout s’est très bien passé équipage sympa et ambiance festive ! Les visites étaient magnifiques ! Et la baignade un peu fraîche mais époustouflante !;4;11 juin 2023;juin 2023 • En couple;23;1;0.3612;Positif;0.0;0.0;Neutre;LABEL_1;0.9996720552444458
Superbe balade en catamaran;Super balade, ambiance relaxante et visite des lagoon et de comino. On a pu profité d’un magnifique couché de soleil. Petit bémol le lagoon est rempli de méduse et il faut arriver au minimum 40 min à l’avance pour avoir des places sur les transats.;4;31 mai 2023;mai 2023 • Entre amis;47;1;0.4215;Positif;0.3333333333333333;0.6666666666666666;Positif;LABEL_1;0.9995700716972351
Super excursion;On a passé un très bon moment .Le catamaran est très confortable , le personnel est très sympa .Magnifique vue et arrête baignade .Je recommande;5;28 mai 2023;;24;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9996755123138428
Activité EVJF;Expérience agréable, arrêts dans plusieurs petites criques, barbecue avec brochettes de poulet + divers accompagnements (salade de pâtes, crudités, semoule, ...). Musique pas trop forte. Équipe très sympa !;5;7 mai 2023;mai 2023 • Entre amis;26;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995298385620117
Paysage magnifique;Des paysages à couper le souffle.Un bateau confortable, propre, et bien équipé.Dommage que les accompagnements du barbecue n’était pas à la hauteur.Pensez à prendre une petite veste car il y a du vent;4;2 mai 2023;mai 2023 • Entre amis;37;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9993019104003906
Génial Alhambra;Sandra était brillante, très claire et concise, très instructive. Elle s'occupait très bien de son groupe. Nous avons beaucoup appris sur le palais et la région de Grenade, vraiment apprécié;5;28 octobre 2025;oct. 2025 • En couple;30;1;0.0;Neutre;0.1;0.6;Positif;LABEL_1;0.9996681213378906
Un site incontournable et une grande visite.;Visite instructive pour vous donner l'histoire et une belle promenade à travers le site. je recommanderais cette visite à tous mais il y a une petite section en montée au départ à négocier que la plupart seront en mesure de gérer. Nous avons apprécié les jardins et vous pourriez passer une journée entière à explorer le site à son maximum.;5;26 octobre 2025;oct. 2025 • En couple;60;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9995961785316467
Alhambra;Point positif : guide sympathique, très bonnes explications, souriante et passionné.Point négatif: pas de précision qu’il y a 30 minutes de marche en monté. Pour nous pas un soucis mais certaines personnes ont du monter en taxi et du coup n’ont pas eu les explications.;4;14 octobre 2025;oct. 2025 • En couple;47;1;0.0;Neutre;0.0;0.0;Neutre;LABEL_1;0.9975247979164124
